"165","Jozefina","Jozefino"
"164","Emily","Emily"
"164","Zděna","Zděno"
"162","Ngoc","Ngoc"
"162","Polina","Polino"
"162","Yvonna","Yvonno"
"161","Jena","Jeno"
"160","Amália","Amálio"
"160","Yen","Yen"
"159","Estera","Estero"
"159","Halka","Halko"
"158","Cecília","Cecílio"
"158","Nadežda","Nadeždo"
"158","Nhung","Nhung"
"158","Petronela","Petronelo"
"157","Angelina","Angelino"
"156","Anzhela","Anzhelo"
"156","Justína","Justíno"
"156","Maja","Majo"
"156","Vitaliya","Vitaliyo"
"155","Yvonne","Yvonne"
"154","Anetta","Anetto"
"154","Dušana","Dušano"
"154","Marianne","Marianne"
"154","Valeriya","Valeriyo"
"153","Antonína","Antoníno"
"153","Gerta","Gerto"
"153","Liduše","Liduše"
"152","Annelies","Annelies"
"152","Cristina","Cristino"
"152","Hermina","Hermino"
"152","Tatyana","Tatyano"
"151","Charlota","Charloto"
"151","Lien","Lien"
"151","Viktoriia","Viktoriio"
"150","Beatrice","Beatrice"
"150","René","René"
"150","Thanh","Thanh"
"148","Elizaveta","Elizaveto"
"147","Christine","Christine"
"147","Isabella","Isabello"
"147","Sophia","Sophio"
"146","Hong","Hong"
"145","Ulyana","Ulyano"
"144","Aurelia","Aurelio"
"144","Greta","Greto"
"144","Hanh","Hanh"
"143","Amelie","Amelie"
"143","Ksenia","Ksenio"
"143","Samantha","Samantho"
"142","Lilia","Lilio"
"141","Dina","Dino"
"141","Heda","Hedo"
"141","Malgorzata","Malgorzato"
"141","Natalja","Nataljo"
"141","Nelya","Nelyo"
"140","Augusta","Augusto"
"139","Agneša","Agnešo"
"139","Albina","Albino"
"139","Hanka","Hanko"
"139","Ilse","Ilse"
"139","Juliána","Juliáno"
"139","Olivie","Olivie"
"137","Rostislava","Rostislavo"
"136","Vivien","Vivien"
"135","Bibiana","Bibiano"
"135","Ina","Ino"
"133","Ada","Ado"
"133","Violeta","Violeto"
"132","Rudolfa","Rudolfo"
"131","Viktorija","Viktorijo"
"131","Zoe","Zoe"
"130","Agnieszka","Agnieszko"
"130","Nikita","Nikito"
"129","Jaruše","Jaruše"
"128","Loan","Loan"
"127","Alicja","Alicjo"
"127","Olina","Olino"
"126","Elsa","Elso"
"126","Manuela","Manuelo"
"126","Oanh","Oanh"
"126","Saša","Sašo"
"126","Slavka","Slavko"
"125","Hue","Hue"
"124","Leopolda","Leopoldo"
"124","Milica","Milico"
"124","Nika","Niko"
"123","Natallia","Natallio"
"123","Rozárie","Rozárie"
"123","Yevheniya","Yevheniyo"
"122","Julianna","Julianno"
"122","Mája","Májo"
"122","Sofiya","Sofiyo"
"122","Štefana","Štefano"
"121","Ecaterina","Ecaterino"
"121","Nelli","Nelli"
"121","Veronica","Veronico"
"120","Timea","Timeo"
"120","Václavka","Václavko"
"119","Grazyna","Grazyno"
"119","Tatsiana","Tatsiano"
"119","Vědunka","Vědunko"
"118","Alma","Almo"
"118","Debora","Deboro"
"118","Lia","Lio"
"117","Maya","Mayo"
"116","Josefka","Josefko"
"115","Arnošta","Arnošto"
"115","Drahomila","Drahomilo"
"114","Kornelie","Kornelie"
"114","Slavomila","Slavomilo"
"114","Stanislawa","Stanislawo"
"114","Želmíra","Želmíro"
"113","Janetta","Janetto"
"112","Ljudmila","Ljudmilo"
"111","Patrícia","Patrício"
"110","Alisa","Aliso"
"110","Elfrida","Elfrido"
"110","Renée","Renée"
"109","Carolina","Carolino"
"109","Marcella","Marcello"
"108","Elvira","Elviro"
"108","Lyudmila","Lyudmilo"
